exekuci,urad,obvod,trojcisli
5408,"Soudní Exekutor: Exner Filip, JUDr.","Praha 7",151
18092,"Soudní Exekutor: Kučera Petr, JUDr. Ing.",Kladno,150
6950,"Soudní Exekutor: Vybíral David, Mgr. LL.M.","Praha 6",148
10229,"Soudní Exekutor: Hanák Ondřej, JUDr. Ph.D.","Praha 5",147
2350,"Soudní Exekutor: Sekyrka Hynek, Mgr.","Praha 1",145
11050,"Soudní Exekutor: Kocinec Jaroslav, Mgr. LL.M.",Frýdek-Místek,142
52115,"Soudní Exekutor: Zwiefelhofer Miloslav, JUDr.","Praha 3",144
1939,"Soudní Exekutor: Vedral Jan, Mgr.","Praha 3",140
193197,"Soudní Exekutor: Kubis Marcel, Mgr.",Šumperk,139
19014,"Soudní Exekutor: Pospíšil Vratislav, JUDr.","Ústí nad Labem",136
64140,"Soudní Exekutor: Peroutka Jan, Mgr.",Chomutov,135
29186,"Soudní Exekutor: Fendrych Jan, JUDr.","Praha 2",132
8818,"Soudní Exekutor: Jaroš Vojtěch, Mgr.",Znojmo,133
94161,"Soudní Exekutor: Prošek Jiří, Mgr. Ing.",Plzeň-město,134
18285,"Soudní Exekutor: Beneš Jan, Mgr.",Praha-západ,191
3419,"Soudní Exekutor: Kozlová Lenka, Mgr. Et Mgr.",Plzeň-jih,190
42147,"Soudní Exekutor: Polanský Petr, Mgr.",Liberec,131
4328,"Soudní Exekutor: Jakubovská Veronika, Mgr.","Kutná Hora",192
53629,"Soudní Exekutor: Zítka Zdeněk, JUDr.",Plzeň-město,108
6000,"Zánik výkonu Exekutorského úřadu:  Zálešák Lubomír, JUDr.",Hodonín,107
39274,"Soudní Exekutor: Wolfová Jitka, JUDr.",Plzeň-město,106
0,"Soudní Exekutor: Leskovjan Jiří, JUDr. Et Mgr. LL.M.","Praha 4",189
37218,"Soudní Exekutor: Vlček Daniel, Mgr.","Praha 7",101
18154,"Soudní Exekutor: Usnul Milan, JUDr.","Praha 9",098
21649,"Soudní Exekutor: Urban Karel, JUDr.",Brno-město,097
4168,"Soudní Exekutor: Tvrdková Jana, JUDr.","Praha 4",095
80861,"Soudní Exekutor: Tunkl Martin, Mgr.",Plzeň-město,094
8708,"Soudní Exekutor: Tomek Jiří, JUDr.",Třebíč,093
74190,"Soudní Exekutor: Švecová Ingrid, JUDr.","Praha 3",091
2645,"Soudní Exekutor: Štrincl Jiří, JUDr. Ph. D.","Jablonec nad Nisou",090
7995,"Soudní Exekutor: Douchová Martina, Mgr.",Tábor,017
46438,"Soudní Exekutor: Svoboda Martin, Mgr.",Teplice,110
0,"Soudní Exekutor: Mohyla René, Mgr.",Přerov,187
4535,"Zánik výkonu Exekutorského úřadu: Souček Kamil, JUDr.",Náchod,083
105733,"Soudní Exekutor: Smékal Marcel, JUDr.",Praha-východ,081
5934,"Zánik výkonu Exekutorského úřadu: Slavata Martin, Mgr.","Mladá Boleslav",080
3944,"Soudní Exekutor: Sedláčková Jaromíra, JUDr.",Příbram,078
5313,"Soudní Exekutor: Sárová Marie, JUDr.",Jihlava,079
7088,"Soudní Exekutor: Trojanovský Jiří, JUDr. LL.M.",Frýdek-Místek,143
19553,"Soudní Exekutor: Pospíchal Tomáš, Mgr.",Nymburk,070
24746,"Soudní Exekutor: Porostlý Vlastimil, JUDr.",Ostrava-město,069
159285,"Soudní exekutor: Podkonický Juraj, JUDr., Ph. D.,","Praha 5",067
3616,"Soudní Exekutor: Peške Jaromír, JUDr.",Plzeň-sever,064
33770,"Soudní Exekutor: Pekárek Jan, Mgr.","Praha 10",061
18405,"Soudní Exekutor: Pazderka Stanislav, JUDr.",Písek,117
21263,"Soudní Exekutor: Paraska Jan, JUDr.",Most,130
45259,"Soudní Exekutor: Pánek Zdeněk, Mgr.",Děčín,112
20596,"Soudní Exekutor: Olma Igor, JUDr.",Svitavy,111
11891,"Soudní Exekutor: Nevřela Jiří, Mgr.",Praha-východ,054
4761,"Soudní Exekutor: Němec Luděk, Mgr.","Karlovy Vary",055
19617,"Soudní Exekutor: Molák Stanislav, Mgr.","Havlíčkův Brod",050
3922,"Soudní Exekutor: Šnaider Dušan, Mgr.",Praha-západ,174
190676,"Soudní Exekutor: Mika Dalimil, JUDr. LL.M.",Klatovy,120
111138,"Soudní Exekutor: Mareš Ondřej, JUDr. LL.M.",Litoměřice,124
233,"Zánik výkonu Exekutorského úřadu: Maisnerová Katarína, JUDr.","Praha 8",048
54347,"Soudní Exekutor: Luhan Ivo, JUDr.","Praha 1",099
5410,"Soudní Exekutor: Král Jiří, Mgr.",Ostrava-město,043
16962,"Soudní Exekutor: Kozáková Ivana, JUDr.",Třebíč,042
64660,"Soudní Exekutor: Košina Kamil, Mgr.",Prachatice,040
89545,"Soudní exekutor: Koncz David, Mgr.",Cheb,074
3325,"Soudní Exekutor: Komínková Zuzana, Mgr.",Vyškov,114
162111,"Soudní Exekutor: Kocián Petr, JUDr.",Brno-venkov,137
4716,"Soudní Exekutor: Karafiát Radek, Mgr.",Jihlava,035
1722,"Soudní Exekutor: Jindra Jan, Mgr., LL.M.",Semily,118
26670,"Soudní Exekutor: Jaroš Petr, Mgr.",Chrudim,129
9860,"Soudní Exekutor: Jablonská Eva, JUDr.","Praha 6",034
2621,"Soudní Exekutor: Chovanec Aleš, JUDr.",Opava,032
7391,"Soudní Exekutor: Chaloupka Roman, JUDr.",Mělník,031
3885,"Soudní Exekutor: Chaloupka David, Mgr.",Kroměříž,122
154620,"Soudní Exekutor: Homola Jaroslav, Mgr.",Brno-město,030
7215,"Soudní Exekutor: Hauerland Miloslav, JUDr.","Praha 5",027
72,"Soudní Exekutor: Hanáček Pavel, Mgr.","Uherské Hradiště",026
2378,"Soudní Exekutor: Glogrová Iveta, JUDr.","Praha 4",126
16081,"Soudní Exekutor: Fučíková Pavla, Mgr.",Ostrava-město,024
10314,"Soudní Exekutor: Franc Jaromír, Mgr.",Jičín,023
4196,"Soudní Exekutor: Fojtová Jana, JUDr.",Pelhřimov,049
55947,"Soudní Exekutor: Flajšhansová Vendula, JUDr.",Plzeň-sever,121
4902,"Soudní Exekutor: Erben Ivan, JUDr.","Praha 8",021
3124,"Soudní Exekutor: Elfmarková Monika, JUDr.","Praha 4",115
8063,"Soudní Exekutor: Dvořák Miloš, Mgr.",Sokolov,041
4758,"Soudní Exekutor: Dvořáčková Marcela, JUDr.","Hradec Králové",019
0,"Soudní Exekutor: Douchová Martina, Mgr.",Tábor,017
11312,"Soudní Exekutor: Dolanský Pavel, Mgr.",Beroun,015
53555,"Soudní Exekutor: Černošková Lenka, Mgr.",Prostějov,018
15334,"Soudní Exekutor: Cink Libor, Mgr.",Břeclav,123
9047,"Soudní Exekutor: Cingroš Josef, Mgr. Ing.",Brno-město,009
7804,"Soudní Exekutor: Bronec Milan, JUDr.","České Budějovice",008
12439,"Soudní Exekutor: Brančík Kamil, Mgr.",Hodonín,007
23154,"Soudní Exekutor: Blažková Alena, JUDr. Ph. D.",Brno-město,006
2189,"Soudní Exekutor: Bémová Jana, JUDr.","Česká Lípa",004
31752,"Soudní Exekutor: Bednář Richard, Mgr.","Praha 10",003
12663,"Soudní Exekutor: Bayer Aleš, JUDr.","Praha 2",002
