exekuci,urad,obvod,trojcisli
72,"Soudní exekutor: Daněk Jaroslav, Mgr. Bc.","Ústí nad Orlicí",229
3818,"Soudní exekutor: Kubena Martin, Mgr.",Brno-město,227
16761,"Soudní Exekutor: Plášilová Kaufmanová Hana, Mgr. Bc.","Praha 7",228
1227,"Soudní Exekutor: Hloch Petr, Mgr.",Ostrava-město,226
32846,"Soudní exekutor: Nevěřilová Pavla, JUDr.",Šumperk,225
28408,"Soudní exekutor: Říhová Andrea, Mgr. LL.M.",Kladno,223
8348,"Soudní Exekutor: Slušná Jana, Mgr.","Žďár nad Sázavou",222
17997,"Soudní Exekutor: Tintěra Pavel, Mgr.",Rakovník,221
80757,"Soudní Exekutor: Suchánek Michal, Mgr.","Praha 9",220
9112,"Soudní Exekutor: Effenberger Jakub, Mgr.",Kolín,219
600,"Soudní Exekutor: Vrána Jan, Mgr. Ing.","Praha 3",218
2154,"Soudní Exekutor: Tunkl Tomáš, Mgr.","Český Krumlov",217
1365,"Soudní Exekutor: Dusílková Ochmannová Lenka, Mgr. LL.M.","Praha 2",216
3234,"Soudní Exekutor: Brančík Ctibor, Mgr.",Zlín,215
1604,"Soudní Exekutor: Škorpil Jan, Mgr.","České Budějovice",213
2778,"Soudní Exekutor: Smola Erik, JUDr.",Strakonice,212
15439,"Soudní Exekutor: Pelikán Petr, Mgr.",Pardubice,211
1699,"Soudní Exekutor: Jeřelová Marie, Mgr.",Blansko,210
12468,"Soudní Exekutor: Slavíček Tomáš, Mgr.",Louny,208
14653,"Soudní Exekutor: Popková Magdaléna, Mgr.",Liberec,209
35642,"Soudní Exekutor: Jarková Jana, JUDr.",Zlín,207
3154,"Soudní Exekutor: Bolom David, Mgr.","Nový Jičín",205
16924,"Soudní Exekutor: Škarpa Jan, Mgr.","Praha 4",206
80337,"Soudní Exekutor: Preus Pavel, Mgr.","Praha 8",204
20782,"Soudní Exekutor: Štika Martin, JUDr. Ing.","Hradec Králové",202
331235,"Soudní Exekutor: Jícha Lukáš, JUDr.",Přerov,203
21621,"Soudní Exekutor: Struminský Pavel, Mgr.",Karviná,201
5456,"Soudní Exekutor: Březinová Blanka, Mgr.",Bruntál,200
4361,"Soudní Exekutor: Skácel Pavel, Mgr.",Vsetín,199
9370,"Soudní Exekutor: Schafferová Jaroslava, Mgr.",Brno-venkov,198
30509,"Soudní Exekutor: Valenta Jan, Mgr.",Olomouc,196
3132,"Soudní Exekutor: Mohyla René, Mgr.",Přerov,187
101173,"Soudní Exekutor: Havlice Alan, JUDr.",Jeseník,197
10573,"Soudní Exekutor: Voborník Tomáš, Mgr.",Pardubice,195
7433,"Soudní Exekutor: Brychta Bohumil, Mgr.","Rychnov nad Kněžnou",194
21830,"Soudní Exekutor: Leskovjan Jiří, JUDr. Et Mgr. LL.M.","Praha 4",189
37452,"Soudní Exekutor: Koutníková Eva, JUDr.",Znojmo,193
13418,"Soudní Exekutor: Šůstek Svatopluk, Mgr.",Olomouc,185
1263,"Soudní Exekutor: Roubal Martin, Mgr.","Jindřichův Hradec",188
9349,"Soudní Exekutor: Janečka Jiří, JUDr. Ph.D.",Plzeň-jih,178
23551,"Soudní Exekutor: Svoboda Ondřej, Mgr.","Praha 9",184
5101,"Soudní Exekutor: Havlová Martina, Mgr.","Praha 10",183
4418,"Soudní Exekutor: Kalistová Jana, Mgr.","Praha 8",182
65425,"Soudní Exekutor: Grosamová Zuzana, Mgr.","Praha 6",180
4583,"Soudní Exekutor: Ráček Zdeněk, Mgr.","Žďár nad Sázavou",179
7811,"Soudní Exekutor: Jenerál Marek, Mgr.",Zlín,177
23732,"Soudní Exekutor: Lavička Josef, JUDr.",Cheb,176
5829,"Soudní Exekutor: Horák Martin, Mgr.",Tábor,173
42592,"Soudní Exekutor: Valentová Lucie, Mgr.",Brno-město,169
2256,"Soudní Exekutor: Bursa Aleš, Mgr.","Mladá Boleslav",172
16080,"Soudní Exekutor: Kiselová Simona, Mgr.",Karviná,171
4819,"Soudní Exekutor: Vychopňová Iva, JUDr.",Benešov,170
20065,"Soudní Exekutor: Micka Petr, Mgr.",Rokycany,168
95601,"Soudní Exekutor: Ivanko Igor, JUDr.","Praha 10",167
12308,"Soudní Exekutor: Šticha Jan, Mgr.",Domažlice,165
1148,"Soudní Exekutor: Kohoutek Predrag, Mgr.",Tábor,152
27573,"Soudní Exekutor: Svoboda Jan, Mgr.",Olomouc,164
7478,"Zánik výkonu Exekutorského úřadu: Makarius Milan, JUDr.",Praha-západ,156
58286,"Soudní Exekutor: Erbert Ivo, JUDr.",Praha-východ,149
6300,"Soudní Exekutor: Bulvas Jiří, JUDr.","Praha 1",146
5776,"Soudní Exekutor: Pajer Pavel, Mgr.",Tachov,141
5198,"Soudní Exekutor: Skoupá Kateřina, Mgr.",Brno-venkov,166
7988,"Soudní Exekutor: Michlová Monika, Mgr. Ing.","Nový Jičín",163
2835,"Soudní Exekutor: Ender Pavel, Mgr.",Ostrava-město,162
22665,"Soudní Exekutor: Petrošová Marcela, Mgr.",Břeclav,160
8423,"Soudní Exekutor: Krejsta Jan, Mgr.",Brno-město,159
6152,"Soudní Exekutor: Bohutínský Jan, JUDr.",Trutnov,158
2423,"Soudní Exekutor: Mlynarčík Jan, Mgr.","Jablonec nad Nisou",154
